,name,company,ssn,address,job,email,birthday,work-email,credit_card,phone_number,x,y,coworker
0,Doris Martinez,"Fisher, Green and Dixon",415-39-7809,"24219 Archer Mountain Suite 924
North Melissaborough, LA 41945",Secretary/administrator,mary84@yahoo.com,1936-09-18,,,,-98.40656934299994,16.473695000000077,Jeffery Garcia
1,Doris Martinez,"Fisher, Green and Dixon",415-39-7809,"24219 Archer Mountain Suite 924
North Melissaborough, LA 41945",Secretary/administrator,mary84@yahoo.com,1936-09-18,,,,-98.40656934299994,16.473695000000077,Kelsey Freeman
2,Doris Martinez,"Fisher, Green and Dixon",415-39-7809,"24219 Archer Mountain Suite 924
North Melissaborough, LA 41945",Secretary/administrator,mary84@yahoo.com,1936-09-18,,,,-98.40656934299994,16.473695000000077,Kimberly Carter
3,Doris Martinez,"Fisher, Green and Dixon",415-39-7809,"24219 Archer Mountain Suite 924
North Melissaborough, LA 41945",Secretary/administrator,mary84@yahoo.com,1936-09-18,,,,-98.40656934299994,16.473695000000077,Andrew Scott
4,Jeffery Garcia,"Fisher, Green and Dixon",462-64-5856,"5330 Wilson Fields Suite 560
East Heiditown, VA 70519",Senior tax professional/tax inspector,imoore@yahoo.com,1920-08-13,,,,-81.2395803342355,36.62177747912742,Doris Martinez
5,Jeffery Garcia,"Fisher, Green and Dixon",462-64-5856,"5330 Wilson Fields Suite 560
East Heiditown, VA 70519",Senior tax professional/tax inspector,imoore@yahoo.com,1920-08-13,,,,-81.2395803342355,36.62177747912742,Kimberly Carter
6,Jeffery Garcia,"Fisher, Green and Dixon",462-64-5856,"5330 Wilson Fields Suite 560
East Heiditown, VA 70519",Senior tax professional/tax inspector,imoore@yahoo.com,1920-08-13,,,,-81.2395803342355,36.62177747912742,Christina Murphy
7,Jeffery Garcia,"Fisher, Green and Dixon",462-64-5856,"5330 Wilson Fields Suite 560
East Heiditown, VA 70519",Senior tax professional/tax inspector,imoore@yahoo.com,1920-08-13,,,,-81.2395803342355,36.62177747912742,Terry Smith
8,Kelsey Freeman,"Fisher, Green and Dixon",420-73-8333,"PSC 5642, Box 8071
APO AA 06490",Microbiologist,yramirez@gmail.com,1958-08-27,,,,-6.627819999999929,38.87844699500005,Doris Martinez
9,Kelsey Freeman,"Fisher, Green and Dixon",420-73-8333,"PSC 5642, Box 8071
APO AA 06490",Microbiologist,yramirez@gmail.com,1958-08-27,,,,-6.627819999999929,38.87844699500005,Andrew Scott
10,Kimberly Carter,"Fisher, Green and Dixon",119-33-2186,"1240 Jamie Forks Apt. 590
Alistad, NY 60619","Nurse, children's",nicholas11@hotmail.com,1931-08-14,,,,-78.75470999999999,42.90382000000005,Doris Martinez
11,Kimberly Carter,"Fisher, Green and Dixon",119-33-2186,"1240 Jamie Forks Apt. 590
Alistad, NY 60619","Nurse, children's",nicholas11@hotmail.com,1931-08-14,,,,-78.75470999999999,42.90382000000005,Jeffery Garcia
12,Charles Gonzalez,"Fisher, Green and Dixon",532-38-7349,"PSC 9361, Box 5349
APO AP 57022",Psychotherapist,nancy89@hotmail.com,1905-12-26,,,,-74.06289999999996,40.752500000000055,Roger Olson
13,Charles Gonzalez,"Fisher, Green and Dixon",532-38-7349,"PSC 9361, Box 5349
APO AP 57022",Psychotherapist,nancy89@hotmail.com,1905-12-26,,,,-74.06289999999996,40.752500000000055,Charles Gonzalez
14,Charles Gonzalez,"Fisher, Green and Dixon",532-38-7349,"PSC 9361, Box 5349
APO AP 57022",Psychotherapist,nancy89@hotmail.com,1905-12-26,,,,-74.06289999999996,40.752500000000055,Laura Ford
15,Roger Olson,"Fisher, Green and Dixon",152-33-9873,"7118 Williams Flat Apt. 075
Owenhaven, LA 50600","Engineer, petroleum",johnsonrobert@yahoo.com,1986-08-04,,,,-93.90434161540904,32.311726876216454,Charles Gonzalez
16,Roger Olson,"Fisher, Green and Dixon",152-33-9873,"7118 Williams Flat Apt. 075
Owenhaven, LA 50600","Engineer, petroleum",johnsonrobert@yahoo.com,1986-08-04,,,,-93.90434161540904,32.311726876216454,Andrew Scott
17,Roger Olson,"Fisher, Green and Dixon",152-33-9873,"7118 Williams Flat Apt. 075
Owenhaven, LA 50600","Engineer, petroleum",johnsonrobert@yahoo.com,1986-08-04,,,,-93.90434161540904,32.311726876216454,Darryl Moore
18,Roger Olson,"Fisher, Green and Dixon",152-33-9873,"7118 Williams Flat Apt. 075
Owenhaven, LA 50600","Engineer, petroleum",johnsonrobert@yahoo.com,1986-08-04,,,,-93.90434161540904,32.311726876216454,Margaret Carter
19,Andrew Scott,"Fisher, Green and Dixon",627-60-6336,"009 Soto Course
Michaelbury, MO 08386",Product/process development scientist,bnavarro@yahoo.com,1998-02-01,,,,-90.55427999999995,38.140130000000056,Roger Olson
20,Andrew Scott,"Fisher, Green and Dixon",627-60-6336,"009 Soto Course
Michaelbury, MO 08386",Product/process development scientist,bnavarro@yahoo.com,1998-02-01,,,,-90.55427999999995,38.140130000000056,Kelsey Freeman
21,Andrew Scott,"Fisher, Green and Dixon",627-60-6336,"009 Soto Course
Michaelbury, MO 08386",Product/process development scientist,bnavarro@yahoo.com,1998-02-01,,,,-90.55427999999995,38.140130000000056,Doris Martinez
22,Andrew Scott,"Fisher, Green and Dixon",627-60-6336,"009 Soto Course
Michaelbury, MO 08386",Product/process development scientist,bnavarro@yahoo.com,1998-02-01,,,,-90.55427999999995,38.140130000000056,Susan Cook
23,Heather Savage,"Fisher, Green and Dixon",452-27-6089,"141 Watts Squares
West Katrina, ID 59935",Farm manager,pfrench@yahoo.com,1990-03-31,,,,-115.89227999999997,48.461550000000045,Margaret Carter
24,Heather Savage,"Fisher, Green and Dixon",452-27-6089,"141 Watts Squares
West Katrina, ID 59935",Farm manager,pfrench@yahoo.com,1990-03-31,,,,-115.89227999999997,48.461550000000045,Kelly Lopez
25,Heather Savage,"Fisher, Green and Dixon",452-27-6089,"141 Watts Squares
West Katrina, ID 59935",Farm manager,pfrench@yahoo.com,1990-03-31,,,,-115.89227999999997,48.461550000000045,Susan Cook
26,Margaret Carter,"Fisher, Green and Dixon",480-18-9169,"6377 Flores Ports
West Julietown, AK 62305",Chartered legal executive (England and Wales),tonyasimmons@yahoo.com,2003-12-27,,,,-91.39344999999997,39.964541100000076,Heather Savage
