,origin,destination,date,amount,transaction-type,x,y
0,3550253192387879,378,2020-09-12 14:36:01,30,money,-84.56011999999998,33.813150000000064
1,3550253192387879,37,2020-09-16 13:20:42,7,money,-84.56011999999998,33.813150000000064
2,3550253192387879,288,2020-10-07 03:40:16,16,money,-84.56011999999998,33.813150000000064
3,3550253192387879,137,2020-09-24 18:27:32,9,money,-84.56011999999998,33.813150000000064
4,3550253192387879,118,2020-10-05 19:13:06,34,money,-84.56011999999998,33.813150000000064
5,3550253192387879,471,2020-09-25 16:11:26,4,money,-84.56011999999998,33.813150000000064
6,3550253192387879,34,2020-09-12 02:14:17,29,money,-84.56011999999998,33.813150000000064
7,3550253192387879,187,2020-10-06 21:18:39,29,money,-84.56011999999998,33.813150000000064
8,3550253192387879,74,2020-09-27 03:53:41,19,money,-84.56011999999998,33.813150000000064
9,3550253192387879,457,2020-09-23 15:05:57,6,money,-84.56011999999998,33.813150000000064
10,213128525469039,221,2020-09-16 22:10:27,29,money,6.259559814000056,48.671665000000075
11,4852782929309127847,449,2020-09-22 02:18:46,3,money,-4.278409999999951,38.20458711200007
12,4852782929309127847,223,2020-10-01 22:47:34,13,money,-4.278409999999951,38.20458711200007
13,4852782929309127847,275,2020-10-01 18:37:38,39,money,-4.278409999999951,38.20458711200007
14,2671800418425275,7,2020-09-29 03:22:52,10,money,-122.67595499999999,45.52179000000007
15,502085644529,282,2020-10-07 11:25:34,15,money,-85.81569179999997,31.72085450000003
16,502085644529,273,2020-09-21 05:46:38,9,money,-85.81569179999997,31.72085450000003
17,502085644529,39,2020-09-30 03:58:28,11,money,-85.81569179999997,31.72085450000003
18,502085644529,263,2020-09-21 12:06:28,30,money,-85.81569179999997,31.72085450000003
19,502085644529,5,2020-10-05 05:54:12,40,money,-85.81569179999997,31.72085450000003
20,502085644529,121,2020-09-25 13:39:17,9,money,-85.81569179999997,31.72085450000003
21,502085644529,299,2020-10-02 22:01:41,10,money,-85.81569179999997,31.72085450000003
22,502085644529,19,2020-09-13 16:18:38,26,money,-85.81569179999997,31.72085450000003
23,4443016271063896,199,2020-10-07 20:59:22,50,money,-76.82859825953696,39.29761996419544
24,4443016271063896,74,2020-09-14 06:10:01,18,money,-76.82859825953696,39.29761996419544
25,4443016271063896,376,2020-09-18 11:51:23,4,money,-76.82859825953696,39.29761996419544
26,4443016271063896,270,2020-10-01 12:13:35,18,money,-76.82859825953696,39.29761996419544
27,4443016271063896,155,2020-09-11 19:50:59,22,money,-76.82859825953696,39.29761996419544
28,4443016271063896,222,2020-10-07 17:30:50,3,money,-76.82859825953696,39.29761996419544
29,4443016271063896,368,2020-10-03 22:15:29,45,money,-76.82859825953696,39.29761996419544
30,3507752727949693,13,2020-10-07 01:13:21,9,money,-91.10003923279938,40.790049145897214
31,213193874925874,75,2020-09-15 12:58:46,20,money,-73.64244676825822,40.63848296003488
32,213193874925874,41,2020-09-29 05:06:07,30,money,-73.64244676825822,40.63848296003488
33,213193874925874,457,2020-09-14 03:59:45,6,money,-73.64244676825822,40.63848296003488
34,213193874925874,425,2020-09-20 23:14:47,35,money,-73.64244676825822,40.63848296003488
35,213193874925874,315,2020-09-26 09:31:34,38,money,-73.64244676825822,40.63848296003488
36,213193874925874,10,2020-09-21 04:42:53,22,money,-73.64244676825822,40.63848296003488
37,213193874925874,375,2020-09-18 01:06:40,1,money,-73.64244676825822,40.63848296003488
38,180068279341324,499,2020-09-29 18:12:17,24,money,-89.85590101770504,34.92354433204669
39,180068279341324,123,2020-10-07 08:21:04,18,money,-89.85590101770504,34.92354433204669
40,180068279341324,30,2020-09-17 20:41:24,10,money,-89.85590101770504,34.92354433204669
41,180068279341324,160,2020-09-23 22:39:27,38,money,-89.85590101770504,34.92354433204669
42,180068279341324,117,2020-10-04 02:28:32,33,money,-89.85590101770504,34.92354433204669
43,180068279341324,165,2020-10-04 21:13:10,28,money,-89.85590101770504,34.92354433204669
44,180068279341324,251,2020-09-29 17:59:07,8,money,-89.85590101770504,34.92354433204669
45,3541427566535980,240,2020-09-21 04:45:14,23,money,39.10340000000008,22.68916808700004
46,3541427566535980,296,2020-09-21 09:26:31,10,money,39.10340000000008,22.68916808700004
47,3541427566535980,480,2020-09-26 19:23:58,24,money,39.10340000000008,22.68916808700004
48,3541427566535980,15,2020-09-15 18:51:33,34,money,39.10340000000008,22.68916808700004
49,3541427566535980,471,2020-09-26 02:24:30,11,money,39.10340000000008,22.68916808700004
50,3541427566535980,132,2020-09-23 18:05:36,7,money,39.10340000000008,22.68916808700004
51,3541427566535980,291,2020-10-05 05:38:36,5,money,39.10340000000008,22.68916808700004
52,4444498350742344,284,2020-09-20 13:15:04,41,money,3.1621383420000484,48.39544500000005
