,name,company,ssn,address,job,email,birthday,work-email,credit_card,phone_number,x,y
0,Michael Pham,Kirk-Roberts,523-45-6438,"73517 Cathy Land Suite 723
West Laura, GA 88823","Lighting technician, broadcasting/film/video",alan27@yahoo.com,1913-09-21,Michael.Pham@young-martinez.info,3550253192387879,001-313-901-5381x549,-84.56011999999998,33.813150000000064
1,Sean Hunt,Porter Inc,116-95-2711,"3338 Mathew Trail Suite 919
East Robert, VT 54510",Adult guidance worker,sarahwright@yahoo.com,1948-04-08,Sean.Hunt@jones.com,213128525469039,833-674-6464x50864,6.259559814000056,48.671665000000075
2,Jonathan Golden,Hopkins PLC,780-76-9218,"133 Joshua Tunnel
Richardsonfurt, IN 14446",Financial risk analyst,deankevin@gmail.com,2011-07-20,Jonathan.Golden@brooks.com,4852782929309127847,+1-289-202-2337x64013,-4.278409999999951,38.20458711200007
3,Barbara Perkins,"Beasley, Daniels and Martin",376-20-0389,"1866 Buchanan Plain
Leslieton, OR 97240","Pharmacist, hospital",andersonmichael@gmail.com,2016-12-14,Barbara.Perkins@estrada-singleton.org,2671800418425275,001-994-409-9670x05947,-122.67595499999999,45.52179000000007
4,William Salazar,"Paul, Lewis and Payne",529-19-3600,"43015 Key Turnpike Apt. 537
Wrightland, AK 36010",Accommodation manager,nicholasbarker@hotmail.com,1979-08-20,William.Salazar@hernandez-rice.com,502085644529,(719)224-5839x469,-85.81569179999997,31.72085450000003
5,Timothy Anderson,"Tran, Gibson and Velazquez",808-66-4456,"2730 Jonathan Streets
Markland, AK 68827",Applications developer,marc01@hotmail.com,1925-06-11,Timothy.Anderson@sharp.com,4443016271063896,614.084.3232x7108,-76.82859825953696,39.29761996419544
6,Amanda Norris,Riggs LLC,613-67-4847,"258 Sweeney Inlet Suite 852
Amyfort, IA 71196",Risk analyst,adamskelly@hotmail.com,2006-04-15,Amanda.Norris@schneider.com,3507752727949693,509-099-3129x61712,-91.10003923279938,40.790049145897214
7,Nancy Howell,Perry-Roberts,061-98-6610,"2971 Kenneth Lodge
South Angelashire, NY 43083","Engineer, electrical",thomasowens@gmail.com,1927-03-19,Nancy.Howell@howard.org,213193874925874,0884008429,-73.64244676825822,40.63848296003488
8,Grant Reed,Robinson Ltd,045-59-4184,"4446 Elizabeth Harbors Suite 462
East Maria, MS 82696","Nurse, mental health",john72@hotmail.com,1924-05-29,Grant.Reed@burgess.com,180068279341324,+1-299-136-3026,-89.85590101770504,34.92354433204669
9,Mrs. Michelle Avery,"Pierce, Franklin and Moreno",660-71-4139,"PSC 4417, Box 5870
APO AP 25747","Designer, exhibition/display",aknight@yahoo.com,1917-04-27,Mrs..Michelle.Avery@petty-scott.com,3541427566535980,652.877.8583x292,39.10340000000008,22.68916808700004
